date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:31	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:31%20GMT	https://web.archive.org/web/20251107210346im_/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjtq1TQJvn3zsIWTQdLR5KqqEl17pv_e0Zgv-Sc8A1AxEObX8L33MokOvY8h479IAZ6LUU2tyDYsic0JYqj1S0Jcj_fd2n38vcnSnn-uRzdg2zMVCtdLAm4-pcCV2FR3Slkw4NSl4U5KSMz/s320/John+and+Sophia+Senn.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346im_/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjtq1TQJvn3zsIWTQdLR5KqqEl17pv_e0Zgv-Sc8A1/s320/John+and+Sophia+Senn.1d.delayed	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:33	15366/15366	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202026%2013:39:33%20GMT	https://web.archive.org/web/20240525211718im_/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjtq1TQJvn3zsIWTQdLR5KqqEl17pv_e0Zgv-Sc8A1AxEObX8L33MokOvY8h479IAZ6LUU2tyDYsic0JYqj1S0Jcj_fd2n38vcnSnn-uRzdg2zMVCtdLAm4-pcCV2FR3Slkw4NSl4U5KSMz/s320/John+and+Sophia+Senn.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20240525211718im_/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjtq1TQJvn3zsIWTQdLR5KqqEl17pv_e0Zgv-Sc8A1/s320/John%20and%20Sophia%20Senn.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:35	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:35%20GMT	https://web.archive.org/web/20251107210346/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28VLkTkzdaaJC5JhUt7svPo7qumtE2R3sK0agwyb8OQePBPx9O6nvYcnMC6ak7S-MMH6Jm7qH8OYM293zHDQy4LvVPtCeil1BBW1Mouf/s1600/Hanson+John+Jacob+Senn.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28V/s1600/Hanson+John+Jacob+Senn.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:37	311464/311464	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202026%2013:39:37%20GMT	https://web.archive.org/web/20240525223907/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28VLkTkzdaaJC5JhUt7svPo7qumtE2R3sK0agwyb8OQePBPx9O6nvYcnMC6ak7S-MMH6Jm7qH8OYM293zHDQy4LvVPtCeil1BBW1Mouf/s1600/Hanson+John+Jacob+Senn.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20240525223907/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28V/s1600/Hanson%20John%20Jacob%20Senn.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:41	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:41%20GMT	https://web.archive.org/web/20251107210346im_/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28VLkTkzdaaJC5JhUt7svPo7qumtE2R3sK0agwyb8OQePBPx9O6nvYcnMC6ak7S-MMH6Jm7qH8OYM293zHDQy4LvVPtCeil1BBW1Mouf/s320/Hanson+John+Jacob+Senn.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346im_/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28V/s320/Hanson+John+Jacob+Senn.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:46	18585/18585	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202026%2013:39:46%20GMT	https://web.archive.org/web/20260206190320im_/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28VLkTkzdaaJC5JhUt7svPo7qumtE2R3sK0agwyb8OQePBPx9O6nvYcnMC6ak7S-MMH6Jm7qH8OYM293zHDQy4LvVPtCeil1BBW1Mouf/s320/Hanson+John+Jacob+Senn.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20260206190320im_/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDPcDfydcPReBvBhOZBa54oPIlqfo85Ecx-uxs28V/s320/Hanson%20John%20Jacob%20Senn.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:46%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/2011/10/sophia-jane-abe-11-021.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/2011/10/sophia-jane-abe-11-021.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:46%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/2011/10/sophia-jane-abe-11-021.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/2011/10/sophia-jane-abe-11-021.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:48%20GMT	https://web.archive.org/web/20251107210346im_/https://resources.blogblog.com/img/icon18_email.gif	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346im_/https_/resources.blogblog.com/img/icon18_email.gif	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:49	164/164	---M--	200	added ('OK')	image/gif	date:Tue,%2017%20Mar%202026%2013:39:49%20GMT	https://web.archive.org/web/20251107205544im_/https://resources.blogblog.com/img/icon18_email.gif	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107205544im_/https_/resources.blogblog.com/img/icon18_email.gif	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
